,0,1
0,2010,113
1,2010,115
2,2010,114
3,2010,116
4,2010,82
5,2010,36
6,2010,98
7,2010,98
8,2010,116
9,2010,88
10,2010,97
11,2010,65
12,2010,104
13,2010,119
14,2010,66
15,2010,39
16,2010,119
17,2010,109
18,2010,65
19,2010,98
20,2010,31
21,2010,105
22,2010,94
23,2010,52
24,2010,83
25,2010,85
26,2010,74
27,2010,54
28,2010,113
29,2010,99
30,2010,80
31,2010,94
32,2010,78
33,2010,51
34,2010,39
35,2010,88
36,2010,54
37,2010,37
38,2010,84
39,2010,85
40,2010,106
41,2010,113
42,2010,63
43,2010,97
44,2010,99
45,2010,86
46,2010,97
47,2010,96
48,2010,71
49,2010,105
50,2010,69
51,2010,72
52,2010,68
53,2010,56
54,2010,53
55,2010,109
56,2010,104
57,2010,114
58,2010,33
59,2010,98
60,2010,72
61,2010,52
62,2010,72
63,2010,71
64,2010,74
65,2010,84
66,2010,102
67,2010,93
68,2010,50
69,2010,111
70,2010,102
71,2010,37
72,2010,30
73,2010,94
74,2010,62
75,2010,107
76,2010,30
77,2010,34
78,2010,33
79,2010,118
80,2010,67
81,2010,56
82,2010,52
83,2010,51
84,2010,97
85,2010,41
86,2010,53
87,2010,51
88,2010,48
89,2010,116
90,2010,89
91,2010,39
92,2010,54
93,2010,52
94,2010,55
95,2010,67
96,2010,32
97,2010,79
98,2010,36
99,2010,79
100,2010,112
101,2010,81
102,2010,103
103,2010,120
104,2010,119
105,2010,103
106,2010,42
107,2010,67
108,2010,55
109,2010,115
110,2010,54
111,2010,94
112,2010,90
113,2010,87
114,2010,92
115,2010,98
116,2010,112
117,2010,79
118,2010,76
119,2010,73
120,2010,66
121,2010,34
122,2010,68
123,2010,74
124,2010,50
125,2010,104
126,2010,46
127,2010,103
128,2010,96
129,2010,102
130,2010,89
131,2010,118
132,2010,56
133,2010,95
134,2010,43
135,2010,55
136,2010,113
137,2010,81
138,2010,40
139,2010,100
140,2010,82
141,2010,79
142,2010,45
143,2010,91
144,2010,56
145,2010,88
146,2010,58
147,2010,34
148,2010,62
149,2010,66
150,2010,68
151,2010,74
152,2010,42
153,2010,91
154,2010,102
155,2010,35
156,2010,63
157,2010,53
158,2010,41
159,2010,115
160,2010,80
161,2010,57
162,2010,105
163,2010,80
164,2010,71
165,2010,66
166,2010,49
167,2010,110
168,2010,42
169,2010,61
170,2010,108
171,2010,53
172,2010,97
173,2010,37
174,2010,66
175,2010,78
176,2010,104
177,2010,77
178,2010,36
179,2010,105
180,2010,91
181,2010,37
182,2010,99
183,2010,118
184,2010,82
185,2010,62
186,2010,30
187,2010,120
188,2010,71
189,2010,90
190,2010,87
191,2010,33
192,2010,50
193,2010,43
194,2010,115
195,2010,110
196,2010,87
197,2010,54
198,2010,102
199,2010,74
200,2010,105
201,2010,41
202,2011,50
203,2011,41
204,2011,117
205,2011,58
206,2011,66
207,2011,52
208,2011,69
209,2011,101
210,2011,75
211,2011,104
212,2011,93
213,2011,108
214,2011,46
215,2011,76
216,2011,78
217,2011,73
218,2011,80
219,2011,57
220,2011,66
221,2011,73
222,2011,82
223,2011,33
224,2011,88
225,2011,70
226,2011,99
227,2011,71
228,2011,41
229,2011,37
230,2011,120
231,2011,50
232,2011,86
233,2011,58
234,2011,80
235,2011,42
236,2011,56
237,2011,32
238,2011,67
239,2011,31
240,2011,98
241,2011,113
242,2011,93
243,2011,105
244,2011,38
245,2011,60
246,2011,91
247,2011,93
248,2011,108
249,2011,45
250,2011,36
251,2011,73
252,2011,54
253,2011,98
254,2011,44
255,2011,68
256,2011,101
257,2011,76
258,2011,75
259,2011,86
260,2011,119
261,2011,78
262,2011,118
263,2011,54
264,2011,94
265,2011,46
266,2011,115
267,2011,112
268,2011,87
269,2011,79
270,2011,46
271,2011,110
272,2011,90
273,2011,106
274,2011,91
275,2011,70
276,2011,51
277,2011,38
278,2011,37
279,2011,120
